코드,회사명,외인지분율_최근,PBR_최근,시가총액_억,종가_최근,수급동행,지분율기준_6m,변화폭_6m,순위_6m,순매수억_외국인_6m,순매수억_기관_6m,순매수억_개인_6m,순매수억_사모_6m,주가등락pct_6m,주식수변동pct_6m,장외변동pct_6m,개인강도순위_6m,플래그_개인몰림_6m,강도pct_6m,강도순위_6m,플래그_주식수변동_6m,플래그_장외변동_6m,플래그_기관동반_6m,플래그_개인순매도_6m,지분율기준_3m,변화폭_3m,순위_3m,순매수억_외국인_3m,순매수억_기관_3m,순매수억_개인_3m,순매수억_사모_3m,주가등락pct_3m,주식수변동pct_3m,장외변동pct_3m,개인강도순위_3m,플래그_개인몰림_3m,강도pct_3m,강도순위_3m,플래그_주식수변동_3m,플래그_장외변동_3m,플래그_기관동반_3m,플래그_개인순매도_3m,지분율기준_1m,변화폭_1m,순위_1m,순매수억_외국인_1m,순매수억_기관_1m,순매수억_개인_1m,순매수억_사모_1m,주가등락pct_1m,주식수변동pct_1m,장외변동pct_1m,개인강도순위_1m,플래그_개인몰림_1m,강도pct_1m,강도순위_1m,플래그_주식수변동_1m,플래그_장외변동_1m,플래그_기관동반_1m,플래그_개인순매도_1m,지분율기준_1w,변화폭_1w,순위_1w,순매수억_외국인_1w,순매수억_기관_1w,순매수억_개인_1w,순매수억_사모_1w,주가등락pct_1w,주식수변동pct_1w,장외변동pct_1w,개인강도순위_1w,플래그_개인몰림_1w,강도pct_1w,강도순위_1w,플래그_주식수변동_1w,플래그_장외변동_1w,플래그_기관동반_1w,플래그_개인순매도_1w,강도유형
371950,풍원정밀,0.35009765625,10.7,1314.0,5800.0,,1.0,-0.65,1356,-28.2,10.2,73.5,-27.7,-52.18,0.0,0.35,211,False,-0.851,1473,False,False,True,False,0.7001953125,-0.35,1094,-9.1,-24.7,34.5,-0.9,-48.99,0.0,0.05,298,False,-0.384,1093,False,False,False,False,0.320068359375,0.03,837,-1.1,-3.0,4.1,0.0,-20.0,0.0,0.1,420,False,-0.064,1091,False,False,False,False,0.300048828125,0.05,725,0.7,-0.6,-0.1,,3.02,0.0,0.0,,False,0.049,741,False,False,False,True,
372170,윤성에프앤씨,1.650390625,0.71,1254.0,15720.0,,1.0498046875,0.6,661,15.3,0.2,-13.2,0.2,-47.6,0.0,-0.13,,False,0.751,652,False,False,True,True,1.6904296875,-0.04,893,-6.0,-0.8,8.9,-1.6,-50.17,0.0,-0.03,811,False,-0.028,831,False,False,False,False,1.150390625,0.5,455,5.2,0.7,-6.1,,-31.5,0.0,0.09,,False,0.405,488,False,False,True,True,1.509765625,0.14,498,1.2,0.3,-1.6,,2.08,0.0,0.04,,False,0.098,571,False,False,True,True,
372320,큐로셀,1.259765625,67.82,3593.0,23600.0,,2.650390625,-1.39,1541,-74.2,-69.1,180.7,-94.0,-50.52,5.5,-0.31,250,False,-1.013,1512,True,False,False,False,2.5390625,-1.28,1472,-86.4,-10.0,119.3,-20.9,-60.8,1.24,-0.28,343,False,-0.907,1345,True,False,False,False,2.7109375,-1.45,1705,-47.1,-34.5,79.7,2.2,-24.48,0.0,-0.5,85,False,-0.919,1592,False,False,False,False,1.4404296875,-0.18,1552,8.8,-5.6,-1.6,0.5,-13.71,0.0,-0.43,,False,0.247,255,False,False,False,True,
372800,아이티아이즈,0.66015625,1.85,197.0,2795.0,,0.89990234375,-0.24,1191,-0.5,-25.8,19.5,-23.0,-37.4,16.38,0.27,49,False,-0.283,1258,True,False,False,False,1.599609375,-0.94,1360,-3.8,-11.8,8.7,-10.5,-34.24,0.0,0.17,59,False,-1.274,1459,False,False,False,False,0.740234375,-0.08,1161,-1.2,-10.2,6.8,-8.9,-6.99,0.0,0.18,14,True,-0.316,1343,False,False,False,False,0.7099609375,-0.05,1326,-0.1,-1.2,1.5,-1.2,-3.95,0.0,-0.02,67,False,-0.046,1244,False,False,False,False,
373110,엑셀세라퓨틱스,1.240234375,2.87,205.0,1184.0,,5.5390625,-4.3,1746,-14.5,-2.2,24.8,-1.0,-26.91,0.0,-0.48,59,False,-4.349,1745,False,False,False,False,5.33984375,-4.1,1770,-12.7,0.5,16.9,-0.0,-20.05,0.0,-0.42,39,False,-3.904,1731,False,False,True,False,1.1904296875,0.05,805,-0.3,-0.3,-0.6,,-14.64,0.0,0.13,,False,-0.112,1148,False,False,False,True,1.0498046875,0.19,402,0.5,-0.0,-0.4,,4.41,0.0,-0.02,,False,0.238,267,False,False,False,True,스파이크
373160,데이원컴퍼니,0.75,1.0,453.0,3280.0,,1.2900390625,-0.54,1316,-4.5,18.3,-0.5,-0.2,-28.7,0.02,-0.07,,False,-0.495,1349,False,False,True,True,1.8701171875,-1.12,1427,-7.9,13.4,-0.6,-0.2,-33.13,0.02,-0.03,,False,-1.114,1415,False,False,True,True,0.990234375,-0.24,1342,-1.1,3.0,-1.6,-0.2,-13.34,0.0,0.05,,False,-0.233,1278,False,False,True,True,0.7099609375,0.04,763,0.1,0.2,-0.3,,4.79,0.0,0.02,,False,0.019,875,False,False,True,True,
373170,엠아이큐브솔루션,1.1396484375,1.01,239.0,1580.0,,0.990234375,0.15,862,-3.1,0.9,1.8,-0.7,-78.91,200.0,1.11,234,False,-1.199,1549,True,True,True,False,2.73046875,-1.59,1543,-9.7,-0.1,9.3,-0.1,-46.35,0.0,-0.08,314,False,-1.622,1537,False,False,False,False,1.1396484375,0.0,913,-0.1,-0.1,0.2,-0.1,-28.18,0.0,-0.04,,False,0.049,842,False,False,False,False,1.01953125,0.12,543,0.4,0.0,-0.4,,-12.51,0.0,-0.07,,False,0.185,349,False,False,False,True,
373200,엑스플러스,1.080078125,1.5,352.0,1407.0,,1.4697265625,-0.39,1255,-1.4,-18.5,25.3,0.3,141.75,-77.23,-7.08,336,False,0.024,1050,True,True,False,False,0.669921875,0.41,544,5.7,-18.5,10.4,0.3,81.55,-77.74,-5.45,,False,0.65,456,True,True,False,False,0.18994140625,0.89,270,3.0,-0.2,-2.7,-0.0,-51.48,0.0,0.17,,False,0.679,333,False,False,False,True,0.77001953125,0.31,249,2.1,-0.1,-2.1,-0.2,-44.61,0.0,-0.26,,False,0.573,71,False,False,False,True,
376180,피코그램,2.310546875,0.64,255.0,1373.0,,3.130859375,-0.82,1410,-4.8,-0.0,5.2,,-38.29,0.0,-0.24,539,False,-0.544,1368,False,False,False,False,3.25,-0.94,1360,-4.6,-0.9,5.4,,-52.66,0.0,-0.3,539,False,-0.632,1226,False,False,False,False,1.8203125,0.49,461,1.7,-0.0,-1.7,,-24.85,0.0,-0.23,,False,0.677,335,False,False,False,True,2.349609375,-0.04,1301,0.2,-0.0,-0.2,,-2.42,0.0,-0.13,,False,0.095,580,False,False,False,True,
376270,HEM파마,0.77001953125,57.38,2887.0,40050.0,,2.0390625,-1.27,1515,-39.0,-18.6,119.3,3.4,-23.57,0.72,-0.8,260,False,-0.495,1349,False,False,False,False,0.08001708984375,0.69,449,23.7,-63.0,40.8,-5.6,-34.34,0.32,0.19,444,False,0.515,501,False,False,False,False,0.7099609375,0.06,788,1.7,-3.4,1.5,-0.9,-19.5,0.08,0.01,572,False,0.05,839,False,False,False,False,0.5498046875,0.22,348,5.1,-3.3,-1.6,,0.38,0.08,0.05,,False,0.165,384,False,False,False,True,지속
376290,씨유테크,70.25,0.42,481.0,2725.0,,70.0,0.25,803,0.7,1.1,-2.0,0.1,-7.31,0.0,0.07,,False,0.153,938,False,False,True,True,70.0625,0.19,631,0.7,1.6,-2.4,0.1,-3.88,0.0,0.03,,False,0.137,660,False,False,True,True,70.3125,-0.06,1142,-0.3,1.5,-1.4,0.1,9.0,0.0,-0.01,,False,-0.065,1094,False,False,True,True,70.25,0.0,908,-0.1,0.7,-0.6,,5.01,0.0,0.02,,False,-0.023,1158,False,False,True,True,
376300,디어유,5.48828125,2.27,4760.0,20050.0,,5.80078125,-0.31,1224,23.5,63.2,-97.1,-12.3,-41.37,0.0,-0.61,653,False,0.255,870,False,False,True,True,6.25,-0.76,1287,-87.3,-130.8,219.2,-10.5,-41.8,0.0,0.43,150,False,-1.222,1448,False,False,False,False,5.75,-0.26,1356,-17.1,19.0,-2.2,-5.3,-13.95,0.0,0.04,,False,-0.315,1341,False,False,True,True,5.48828125,0.0,908,2.0,-2.6,0.5,3.0,-7.6,0.0,-0.04,597,False,0.039,781,False,False,False,False,
376900,로킷헬스케어,1.6904296875,65.34,7675.0,48350.0,,0.0,1.69,380,587.4,-636.9,58.1,-42.6,-26.96,1.36,-3.23,,False,4.994,110,True,True,False,False,1.3798828125,0.31,580,15.8,-139.3,205.3,-33.9,-53.15,0.86,0.04,312,False,0.25,596,False,False,False,False,3.359375,-1.67,1726,-103.7,-27.1,122.4,-6.0,-4.64,0.0,-0.45,110,False,-1.195,1641,False,False,False,False,2.009765625,-0.32,1676,-30.7,-8.0,39.4,-0.9,36.01,0.0,0.1,102,False,-0.413,1608,False,False,False,False,
376930,노을,5.4296875,1.39,357.0,696.0,,6.98828125,-1.56,1579,10.1,-4.5,-10.5,-0.1,-64.76,0.0,-3.75,,False,2.0,342,False,True,False,True,7.921875,-2.49,1687,3.2,-0.3,-7.9,-0.1,-60.02,0.0,-3.92,,False,1.232,327,False,True,False,True,8.3515625,-2.92,1793,2.3,-0.0,-5.4,,-14.6,0.0,-3.7,,False,0.705,320,False,True,False,True,5.2890625,0.14,498,0.6,-0.0,-1.3,,4.98,0.0,-0.02,,False,0.155,411,False,False,False,True,지속
376980,원티드랩,2.810546875,0.6,252.0,2580.0,,2.470703125,0.34,751,0.2,0.9,-2.1,-0.2,-23.44,0.0,-0.27,,False,0.463,770,False,False,True,True,2.349609375,0.46,527,1.0,1.1,-3.0,0.0,-28.03,0.0,-0.21,,False,0.541,492,False,False,True,True,2.44921875,0.36,531,1.0,0.0,-1.0,0.0,9.09,0.0,-0.07,,False,0.435,477,False,False,False,True,2.6796875,0.13,520,0.2,-0.0,0.1,,13.91,0.0,0.1,535,False,0.071,662,False,False,False,False,
377030,비트맥스,0.0,1.49,215.0,1504.0,,3.599609375,-3.6,1724,-5.5,-1.6,12.4,-0.2,-27.87,-65.92,-14.55,600,False,1.179,499,True,True,False,False,4.08984375,-4.09,1768,-8.0,-0.2,8.0,-0.0,140.26,-66.59,-10.09,582,False,-0.702,1262,True,True,False,False,0.029998779296875,-0.03,1107,-2.3,-0.0,1.8,,-21.83,33.64,1.05,158,False,-1.43,1663,True,True,False,False,0.0,0.0,908,-0.2,-0.0,0.1,,6.14,33.64,0.11,436,False,-0.148,1437,True,False,False,False,
377220,프롬바이오,1.9296875,0.52,145.0,513.0,,3.890625,-1.96,1626,-16.7,-0.8,18.2,,-56.82,0.0,-0.18,257,False,-1.815,1643,False,False,False,False,2.05078125,-0.12,943,-2.4,-0.1,3.3,,-60.48,0.0,-0.03,616,False,-0.099,889,False,False,False,False,1.5,0.43,491,-0.6,-0.1,1.4,,-31.6,0.0,0.26,386,False,0.122,748,False,False,False,False,2.240234375,-0.31,1668,-0.9,-0.0,0.9,,-5.87,0.0,0.11,138,False,-0.415,1610,False,False,False,False,
377330,이지트로닉스,1.7099609375,0.5,195.0,2395.0,,1.6201171875,0.09,897,0.0,0.0,0.0,,-37.47,0.0,-0.18,,False,0.276,859,False,False,False,False,1.6298828125,0.08,678,-0.0,0.0,0.1,,-35.88,0.0,-0.1,,False,0.191,630,False,False,False,False,1.400390625,0.31,563,0.5,-0.0,-0.6,,-22.74,0.0,-0.0,,False,0.299,564,False,False,False,True,1.6396484375,0.07,665,0.2,-0.0,-0.2,,7.16,0.0,-0.03,,False,0.097,574,False,False,False,True,
377450,리파인,2.830078125,0.81,1814.0,10470.0,,3.650390625,-0.82,1410,-5.4,-9.2,11.6,-16.9,-15.56,0.0,-0.5,514,False,-0.384,1301,False,False,False,False,3.26953125,-0.44,1134,-10.7,0.7,8.8,2.1,-14.67,0.0,0.16,650,False,-0.597,1201,False,False,True,False,2.759765625,0.07,777,1.3,-0.5,-1.0,0.7,9.98,0.0,-0.0,,False,0.066,818,False,False,False,True,2.8203125,0.01,867,1.1,-0.7,-0.7,,4.7,0.0,-0.05,,False,0.063,690,False,False,False,True,스파이크
377460,큐에이드,0.0200042724609375,4.46,2532.0,4080.0,,0.0200042724609375,0.0,987,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,0.0200042724609375,0.0,771,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,0.0200042724609375,0.0,913,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,0.0200042724609375,0.0,908,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,
377480,마음AI,0.1600341796875,2.29,590.0,8300.0,,0.22998046875,-0.07,1110,-15.3,-2.5,17.4,-0.7,-59.01,0.0,0.44,534,False,-0.572,1385,False,False,False,False,2.08984375,-1.93,1611,-29.1,-0.1,31.0,-0.1,-47.83,0.0,-0.01,255,False,-1.904,1596,False,False,False,False,0.239990234375,-0.08,1161,-0.3,0.0,-1.2,,-36.64,0.0,-0.26,,False,0.118,751,False,False,False,True,0.09002685546875,0.07,665,-0.2,-0.0,-0.6,,-2.24,0.0,0.11,,False,-0.04,1222,False,False,False,True,
378340,필에너지,1.5595703125,1.81,2314.0,10690.0,,1.4501953125,0.11,881,-7.3,-10.5,15.7,-3.1,-11.94,0.84,-0.15,,False,0.287,851,False,False,False,False,2.4609375,-0.9,1351,-38.8,-4.7,42.5,0.0,-31.82,0.09,-0.14,513,False,-0.746,1276,False,False,False,False,1.509765625,0.05,805,-2.9,0.1,1.8,0.1,-23.26,0.09,0.09,653,False,-0.046,1056,False,False,True,False,1.2197265625,0.34,224,2.6,0.0,-2.7,,-2.91,0.0,0.24,,False,0.103,555,False,False,False,True,
378800,샤페론,6.890625,1.0,247.0,535.0,,2.939453125,3.95,155,8.9,-0.5,-2.1,,-70.89,0.0,-0.51,,False,4.368,136,False,False,False,True,5.28125,1.61,284,-22.3,0.0,29.3,,-70.75,0.0,0.57,283,False,0.967,384,False,False,False,False,1.8701171875,5.02,12,11.7,-0.0,-5.3,,-53.36,0.0,-0.13,,False,5.067,11,False,False,False,True,5.1484375,1.74,10,4.0,-0.0,-2.7,,3.08,0.0,0.13,,False,1.613,12,False,False,False,True,
380540,옵티코어,0.2099609375,8.95,2067.0,8450.0,,1.0400390625,-0.83,1415,-77.4,-0.1,215.5,0.1,203.41,-49.88,2.44,42,False,-2.295,1674,True,True,False,False,0.66015625,-0.45,1137,,,,,100.0,-50.0,-1.11,,False,,,True,True,False,False,0.2099609375,0.0,913,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,0.219970703125,-0.01,1155,,,,,0.0,0.0,-0.01,,False,,,False,False,False,False,
380550,뉴로핏,6.7109375,4.8,978.0,8020.0,,0.7099609375,6.0,73,45.8,-212.0,244.6,-57.0,-67.79,4.83,0.15,128,False,6.299,62,True,False,False,False,0.97998046875,5.73,42,73.9,-45.6,-18.0,-4.3,-63.55,0.89,-0.24,,False,6.106,32,False,False,False,True,4.8515625,1.86,99,27.5,2.1,-29.8,-0.5,-35.48,0.0,-0.55,,False,2.391,69,False,False,True,True,6.21875,0.49,129,6.0,-0.4,-5.6,-0.0,-6.74,0.0,-0.09,,False,0.58,66,False,False,False,True,지속
381620,제닉스로보틱스,2.51953125,1.52,745.0,5680.0,,2.73046875,-0.21,1179,-13.9,4.4,10.2,-2.6,-59.83,0.0,-1.02,,False,0.799,632,False,True,True,False,3.51953125,-1.0,1382,-40.7,5.9,35.5,-0.4,-38.79,0.0,0.51,474,False,-1.553,1517,False,False,True,False,1.5302734375,0.99,239,3.8,5.0,-9.1,0.2,-33.64,0.0,0.35,,False,0.616,370,False,False,True,True,2.6796875,-0.16,1524,-5.4,5.1,0.3,0.2,11.15,0.0,0.55,471,False,-0.715,1675,False,False,True,False,
382150,온코크로스,2.830078125,2.97,402.0,3300.0,,1.400390625,1.43,427,-10.2,-6.4,42.7,-1.1,-63.54,1.39,0.66,291,False,0.804,630,True,False,False,False,0.5,2.33,207,5.4,-4.2,-4.9,,-59.66,0.0,0.52,,False,1.818,251,False,False,False,True,1.91015625,0.92,261,5.2,-0.0,-5.3,,-31.96,0.0,-0.21,,False,1.134,203,False,False,False,True,2.69921875,0.13,520,0.4,-0.0,-0.5,,-3.23,0.0,0.02,,False,0.108,538,False,False,False,True,지속
382480,지아이텍,3.3203125,0.81,690.0,1752.0,,1.2802734375,2.04,332,24.1,-0.9,-24.4,0.1,-22.99,0.0,-0.5,,False,2.518,276,False,False,False,True,3.58984375,-0.27,1044,-0.3,0.5,1.1,0.1,-33.51,0.0,-0.08,740,False,-0.21,967,False,False,True,False,3.970703125,-0.65,1565,-4.8,0.1,4.8,0.1,-15.16,0.0,0.04,249,False,-0.671,1523,False,False,True,False,3.33984375,-0.02,1215,0.3,-0.0,-0.4,,1.8,0.0,-0.06,,False,0.043,765,False,False,False,True,
382800,지앤비에스 에코,15.8984375,1.13,1332.0,4185.0,,8.1484375,7.75,40,201.5,37.1,-247.8,49.1,43.57,0.0,0.66,,False,6.938,51,False,False,True,True,5.5,10.4,18,276.9,-52.8,-224.7,3.1,-43.52,0.0,-0.46,,False,10.789,9,False,False,False,True,14.34375,1.55,134,39.0,0.1,-49.5,0.2,-35.22,0.0,-0.57,,False,2.197,80,False,False,True,True,16.15625,-0.26,1638,-6.4,0.9,5.3,0.9,-5.74,0.0,0.17,171,False,-0.426,1612,False,False,True,False,
382840,원준,1.759765625,0.65,693.0,4535.0,,2.2109375,-0.45,1283,-17.9,-3.7,23.9,-1.1,-39.69,0.0,0.38,387,False,-0.811,1458,False,False,False,False,2.75,-0.99,1381,-25.6,-2.0,27.5,,-50.55,0.0,0.62,289,False,-1.611,1532,False,False,False,False,1.3896484375,0.37,527,-1.7,-0.9,2.6,,-36.93,0.0,0.35,549,False,-0.002,962,False,False,False,False,1.7001953125,0.06,693,-0.6,-0.0,0.6,,-3.2,0.0,0.14,429,False,-0.085,1338,False,False,False,False,스파이크
382900,범한퓨얼셀,3.609375,0.86,1412.0,16120.0,,4.62890625,-1.02,1464,0.3,3.0,13.6,-1.9,-48.25,0.0,-0.93,477,False,-0.119,1150,False,False,True,False,4.828125,-1.22,1456,-26.1,5.5,31.2,-0.1,-46.62,0.0,-0.13,339,False,-1.128,1420,False,False,True,False,3.259765625,0.35,540,-13.1,4.8,14.4,0.1,-47.92,0.0,0.67,248,False,-0.353,1365,False,False,True,False,2.109375,1.5,16,9.3,-6.4,-3.1,-0.2,0.69,0.0,0.85,,False,0.651,53,False,False,False,True,
383310,에코프로에이치엔,9.9296875,1.78,5412.0,25800.0,,7.58984375,2.34,285,110.4,-119.6,-3.1,-8.4,8.86,0.0,-0.14,,False,2.462,283,False,False,False,True,6.94140625,2.99,155,174.5,-207.0,26.7,14.4,-16.5,0.0,0.04,576,False,2.948,154,False,False,False,False,9.21875,0.71,337,37.1,-34.5,-1.5,-0.6,-17.83,0.0,0.41,459,False,0.396,494,False,False,False,True,9.453125,0.48,132,-7.4,-1.2,9.3,-0.0,7.28,0.0,0.65,257,False,-0.173,1465,False,False,False,False,
383930,디티앤씨알오,1.1201171875,0.87,218.0,1709.0,,4.078125,-2.96,1708,-15.6,-0.1,13.2,0.0,-27.89,0.0,0.19,208,False,-3.207,1719,False,False,False,False,3.80078125,-2.68,1705,-12.5,0.0,9.0,0.0,-54.0,0.0,-0.15,187,False,-2.855,1690,False,False,False,False,0.81982421875,0.3,571,0.4,0.0,-0.5,,-30.24,0.0,-0.03,,False,0.265,595,False,False,False,True,1.2802734375,-0.16,1524,-0.3,-0.0,0.3,,1.85,0.0,-0.03,349,False,-0.131,1418,False,False,False,False,
384470,코어라인소프트,3.490234375,3.04,540.0,3010.0,,3.619140625,-0.13,1136,-3.1,-0.0,8.5,0.1,-27.03,0.0,0.93,370,False,-0.524,1361,False,False,False,False,4.58984375,-1.1,1417,-7.1,0.5,6.2,0.1,-17.08,0.0,0.08,453,False,-1.179,1439,False,False,True,False,3.23046875,0.26,598,0.7,-0.0,-1.1,,-12.37,0.0,0.08,,False,0.118,751,False,False,False,True,3.23046875,0.26,305,1.1,-0.0,-1.1,,2.03,0.0,0.05,,False,0.21,305,False,False,False,True,
387570,파인메딕스,1.4697265625,1.19,234.0,4155.0,,2.240234375,-0.77,1394,-4.3,-0.0,3.6,,-44.23,0.0,-0.23,564,False,-0.687,1421,False,False,False,False,1.150390625,0.32,573,-0.6,-0.0,0.4,,-41.4,0.0,-0.02,,False,0.192,627,False,False,False,False,0.68994140625,0.78,308,2.1,-0.0,-2.7,,-32.66,0.0,-0.14,,False,0.791,291,False,False,False,True,1.4296875,0.04,763,0.1,-0.0,-0.1,,-3.82,0.0,-0.02,,False,0.056,717,False,False,False,True,
387690,레메디,0.1600341796875,7.63,1007.0,13200.0,,,,,-28.3,-72.6,157.1,-51.7,,,,,False,,,False,False,False,False,,,,-28.3,-72.6,157.1,-51.7,,,,,False,,,False,False,False,False,,,,-28.3,-72.6,157.1,-51.7,,,,,False,,,False,False,False,False,,,,-28.3,-72.6,157.1,-51.7,,,,,False,,,False,False,False,False,
388050,지투파워,7.48828125,2.98,1255.0,6710.0,,0.0,7.49,42,26.4,15.6,-43.4,7.3,-16.65,0.0,3.97,,False,3.58,197,False,True,True,True,2.6796875,4.81,64,55.7,-40.4,-9.6,-5.8,-55.03,0.0,0.76,,False,4.103,88,False,False,False,True,5.80859375,1.68,120,23.9,-13.8,-7.5,-0.0,-31.46,0.0,-0.12,,False,1.943,94,False,False,False,True,6.1796875,1.31,21,15.9,-19.5,3.6,,-3.87,0.0,0.16,213,False,1.149,22,False,False,False,False,지속
388210,씨엠티엑스,7.1796875,4.49,8332.0,86300.0,,4.75,2.43,273,550.1,-727.5,342.6,26.2,-21.83,4.12,-1.54,226,False,4.284,144,True,True,False,False,5.94921875,1.23,338,122.4,-608.9,509.2,-30.4,-43.19,0.94,0.12,92,False,1.172,341,False,False,False,False,7.3984375,-0.22,1321,-35.6,36.4,-5.7,19.7,-22.39,0.0,0.06,,False,-0.281,1312,False,False,True,True,7.890625,-0.71,1755,-66.3,51.2,12.2,28.2,13.7,0.0,0.09,306,False,-0.799,1684,False,False,True,False,
388610,지에프씨생명과학,3.01953125,1.33,322.0,6040.0,,3.3203125,-0.3,1219,-3.6,4.1,-6.3,5.5,-52.85,1.37,0.62,,False,-0.446,1330,True,False,True,True,3.08984375,-0.07,915,-2.1,-2.6,7.5,-1.9,-38.43,0.41,-0.09,431,False,-0.039,841,False,False,False,False,2.529296875,0.49,461,0.6,-0.0,-1.0,-0.0,-3.05,0.0,0.05,,False,0.307,557,False,False,False,True,3.2890625,-0.27,1645,-1.0,-0.0,1.0,,26.89,0.0,0.08,175,False,-0.345,1585,False,False,False,False,
388720,유일로보틱스,15.140625,7.98,7210.0,61200.0,,14.1171875,1.02,531,-15.0,606.1,-619.6,-25.1,-32.52,0.72,0.83,,False,0.351,820,False,False,True,True,15.5078125,-0.37,1105,-144.3,-7.6,127.0,-14.7,-34.82,0.0,0.84,463,False,-1.257,1454,False,False,False,False,14.859375,0.28,581,-1.2,68.9,-68.3,8.6,-27.32,0.0,0.29,,False,-0.015,992,False,False,True,True,15.0078125,0.13,520,2.1,1.8,-2.9,0.6,-10.66,0.0,0.1,,False,0.033,803,False,False,True,True,
388790,라이콤,2.08984375,5.72,1241.0,4055.0,,1.9501953125,0.14,867,-3.9,6.6,-9.5,-0.2,53.02,0.02,-0.56,,False,0.536,735,False,False,True,True,4.12890625,-2.04,1632,-18.2,-9.1,29.6,-1.1,-51.73,0.02,-0.1,160,False,-1.932,1598,False,False,False,False,3.5703125,-1.48,1706,-23.0,-2.2,22.5,-2.5,-40.63,0.0,-0.15,95,False,-1.525,1672,False,False,False,False,4.73046875,-2.64,1808,-32.2,-0.6,32.1,-0.6,-17.33,0.0,-0.69,14,True,-2.008,1724,False,False,False,False,
388870,파로스아이바이오,1.0703125,4.71,656.0,5070.0,,0.89013671875,0.18,839,-2.4,-4.7,1.5,-5.1,-55.17,0.0,-0.43,649,False,-0.509,1355,False,False,False,False,2.470703125,-1.4,1497,-15.0,4.3,-0.5,,-46.35,0.0,-0.84,,False,-1.428,1492,False,False,True,True,0.5400390625,0.53,436,2.2,0.4,-3.3,,-17.56,0.0,0.06,,False,0.406,486,False,False,True,True,0.81005859375,0.26,305,1.9,0.1,-2.0,,0.0,0.0,-0.02,,False,0.285,217,False,False,True,True,스파이크
389020,자람테크놀로지,2.330078125,3.6,1433.0,20750.0,,1.08984375,1.24,475,-38.2,-199.8,224.9,-182.1,-44.74,11.41,0.13,77,False,1.038,550,True,False,False,False,2.619140625,-0.29,1055,-40.3,-135.8,187.3,1.7,-63.66,3.95,-0.25,35,False,-0.174,943,True,False,False,False,1.2998046875,1.03,230,18.3,-20.5,5.6,-1.2,-36.93,0.0,0.03,361,False,0.993,229,False,False,False,False,2.3203125,0.01,867,-1.0,0.4,2.9,-0.1,-1.66,0.0,0.07,258,False,-0.093,1357,False,False,True,False,
389030,지니너스,3.69921875,8.33,896.0,2275.0,,2.130859375,1.57,395,3.6,1.5,-11.6,-0.4,-30.21,18.11,0.17,,False,1.889,363,True,False,True,True,6.0390625,-2.34,1667,-50.4,-30.3,73.3,-13.0,-59.01,17.82,0.59,75,False,-2.438,1668,True,False,False,False,2.869140625,0.83,287,-0.8,-3.8,4.3,-3.6,-17.57,0.89,0.65,437,False,0.192,670,False,False,False,False,3.58984375,0.11,568,1.0,-0.5,-0.4,0.0,9.38,0.0,-0.01,,False,0.116,517,False,False,False,True,
389140,포바이포,1.330078125,1.71,682.0,4780.0,,6.55859375,-5.23,1763,-99.6,-35.9,132.8,-8.8,-28.34,0.0,0.76,43,False,-6.371,1765,False,False,False,False,1.8896484375,-0.56,1187,-12.9,0.4,8.0,-0.2,-50.36,0.0,-0.23,813,False,-0.634,1227,False,False,True,False,0.77001953125,0.56,411,4.0,-0.3,-3.8,-0.0,-25.55,0.0,-0.02,,False,0.592,383,False,False,False,True,0.85009765625,0.48,132,3.5,0.0,-3.5,,0.53,0.0,-0.01,,False,0.486,92,False,False,False,True,
389260,대명에너지,1.2900390625,1.45,2386.0,13320.0,,0.7099609375,0.58,670,39.9,-30.9,158.1,-8.2,-24.49,0.0,-0.78,143,False,1.318,470,False,False,False,False,0.52978515625,0.76,428,-6.3,-17.5,20.6,-15.5,-42.34,0.0,0.84,510,False,-0.096,886,False,False,False,False,1.1201171875,0.17,687,-2.7,-3.9,4.8,0.2,-19.52,0.0,0.1,561,False,0.034,859,False,False,False,False,0.81005859375,0.48,132,6.2,0.0,-6.3,,7.33,0.0,0.22,,False,0.267,233,False,False,False,True,
389470,인벤티지랩,10.40625,6.52,4478.0,33650.0,,4.109375,6.3,64,377.7,-166.8,174.4,-40.1,-58.61,6.58,1.01,467,False,5.919,73,True,True,False,False,4.41015625,6.0,39,344.8,73.5,-82.0,27.0,-45.73,0.23,1.0,,False,5.021,60,False,True,True,True,9.1171875,1.29,184,46.6,4.5,-51.7,0.6,-27.09,0.0,0.32,,False,0.959,238,False,False,True,True,9.90625,0.5,126,13.4,3.5,-17.2,3.5,-6.53,0.0,0.21,,False,0.292,208,False,False,True,True,
389500,에스비비테크,9.6015625,15.86,2086.0,31300.0,,3.41015625,6.19,65,252.4,216.8,-463.5,-11.6,-44.8,5.2,-0.42,,False,7.101,46,True,False,True,True,3.9609375,5.64,44,275.2,70.5,-348.9,-7.7,-52.07,0.12,-0.16,,False,5.786,35,False,False,True,True,6.640625,2.96,47,86.9,-65.7,-30.9,-0.1,-48.01,0.0,0.14,,False,2.795,50,False,False,False,True,9.78125,-0.18,1552,-7.0,2.0,3.2,,-6.85,0.0,0.13,344,False,-0.306,1561,False,False,True,False,지속
