# F1 스트레스 테스트 — 성과를 깎는 방향만 허용 (상향 튜닝 금지)
# ①만기누락=-100% ②시총 하위 20% 제외(거래대금 미보유로 프록시) ③왕복 1.0%
# 랜덤 벤치마크는 만기누락 제외 방식 유지 → 전략에만 불리한 보수적 비교
시장,전략,진입월,종목수,만기누락,수익률,수익률_최악,시장프록시,랜덤평균,기본,①최악가정,③비용1%,④최악조합
KOSDAQ,F1,2019-03,20,1,0.13104205756767726,0.0744899546892934,-0.13039863258193382,-0.014765426370365948,0.14580748393804321,0.08925538105965934,0.1358074839380432,0.07925538105965935
KOSDAQ,F1L,2019-03,20,0,0.018667546806539658,0.018667546806539658,-0.13039863258193382,-0.014765426370365948,0.033432973176905606,0.033432973176905606,0.023432973176905604,0.023432973176905604
KOSDAQ,F1,2019-04,20,1,0.0578128181482414,0.0049221772408293285,-0.11757029300993592,-0.06480514785433722,0.12261796600257863,0.06972732509516655,0.11261796600257862,0.059727325095166546
KOSDAQ,F1L,2019-04,20,0,-0.038384353996264775,-0.038384353996264775,-0.11757029300993592,-0.06480514785433722,0.026420793858072444,0.026420793858072444,0.016420793858072442,0.016420793858072442
KOSDAQ,F1,2019-05,20,0,0.06143042214580763,0.06143042214580763,-0.08267581769900807,0.042983783648754825,0.018446638497052803,0.018446638497052803,0.008446638497052801,0.008446638497052801
KOSDAQ,F1L,2019-05,20,0,0.06161927609893708,0.06161927609893708,-0.08267581769900807,0.042983783648754825,0.018635492450182256,0.018635492450182256,0.008635492450182254,0.008635492450182254
KOSDAQ,F1,2019-06,20,0,-0.05503635713632622,-0.05503635713632622,-0.02414617952905609,0.01404981085412944,-0.06908616799045567,-0.06908616799045567,-0.07908616799045566,-0.07908616799045566
KOSDAQ,F1L,2019-06,20,0,-0.10114324276841294,-0.10114324276841294,-0.02414617952905609,0.01404981085412944,-0.11519305362254238,-0.11519305362254238,-0.12519305362254238,-0.12519305362254238
KOSDAQ,F1,2019-07,20,0,0.03097692378311075,0.03097692378311075,0.01922104853355492,0.0750761680686296,-0.044099244285518854,-0.044099244285518854,-0.05409924428551885,-0.05409924428551885
KOSDAQ,F1L,2019-07,20,0,0.016067495823373367,0.016067495823373367,0.01922104853355492,0.0750761680686296,-0.05900867224525623,-0.05900867224525623,-0.06900867224525624,-0.06900867224525624
KOSDAQ,F1,2019-08,20,0,-0.059382595269631945,-0.059382595269631945,-8.889885144951335e-05,0.0031280586133625864,-0.06251065388299454,-0.06251065388299454,-0.07251065388299453,-0.07251065388299453
KOSDAQ,F1L,2019-08,20,0,-0.07610036747315027,-0.07610036747315027,-8.889885144951335e-05,0.0031280586133625864,-0.07922842608651286,-0.07922842608651286,-0.08922842608651285,-0.08922842608651285
KOSDAQ,F1,2019-09,20,0,-0.2227489730444971,-0.2227489730444971,-0.08593072601888811,-0.14194050468368613,-0.08080846836081096,-0.08080846836081096,-0.09080846836081097,-0.09080846836081097
KOSDAQ,F1L,2019-09,20,0,-0.23730714679925677,-0.23730714679925677,-0.08593072601888811,-0.14194050468368613,-0.09536664211557064,-0.09536664211557064,-0.10536664211557065,-0.10536664211557065
KOSDAQ,F1,2019-10,20,0,-0.08364583473527484,-0.08364583473527484,-0.030713458475460063,-0.01684516734183648,-0.06680066739343836,-0.06680066739343836,-0.07680066739343835,-0.07680066739343835
KOSDAQ,F1L,2019-10,20,0,-0.10288424408819338,-0.10288424408819338,-0.030713458475460063,-0.01684516734183648,-0.0860390767463569,-0.0860390767463569,-0.0960390767463569,-0.0960390767463569
KOSDAQ,F1,2019-11,20,2,-0.049709276629889054,-0.14473834896690013,0.11605145428819376,0.1022105454694103,-0.15191982209929936,-0.24694889443631043,-0.16191982209929937,-0.2569488944363104
KOSDAQ,F1L,2019-11,20,0,-0.05054377892489337,-0.05054377892489337,0.11605145428819376,0.1022105454694103,-0.15275432439430367,-0.15275432439430367,-0.16275432439430368,-0.16275432439430368
KOSDAQ,F1,2019-12,20,2,-0.03331781893442027,-0.12998603704097825,0.08904181121427245,0.024489587742468857,-0.05780740667688913,-0.15447562478344712,-0.06780740667688913,-0.16447562478344713
KOSDAQ,F1L,2019-12,20,0,-0.031188722480161257,-0.031188722480161257,0.08904181121427245,0.024489587742468857,-0.05567831022263012,-0.05567831022263012,-0.06567831022263011,-0.06567831022263011
KOSDAQ,F1,2020-01,20,3,0.21010298711864023,0.028587539050844192,0.24251916757363612,0.1564029634910131,0.05370002362762713,-0.1278154244401689,0.04370002362762712,-0.13781542444016892
KOSDAQ,F1L,2020-01,20,0,0.07783900997220203,0.07783900997220203,0.24251916757363612,0.1564029634910131,-0.07856395351881107,-0.07856395351881107,-0.08856395351881106,-0.08856395351881106
