# 사전 예상: 종가→종가 약한 양(+) 가능 / 시가→종가 ≈ 0 (갭 선취) / 비용후 전 조합 음수
# 판정 기준(고정): 초반 양수→0 수렴 = 단명 신호 / 전 구간 0 근처 = 신호 없음 / 며칠 뒤 증가 = 해석 금지, 우연 의심
# 한계: 표본 ~240거래일이지만 기간 1년(단일 장세) — 월 검증과 표본 성격이 다름
시장,신호일,진입일,종목수,cc1,oc1,r1,rand1,r2,rand2,r3,rand3,r5,rand5,r10,rand10,ex1,ex2,ex3,ex5,ex10
KOSPI,2026-03-05,2026-03-06,20,0.003330588961798564,-0.02412719630786233,-0.02412719630786233,0.013415617880617731,-0.052086995248994225,-0.023667495961155235,-0.061929220640730774,-0.0015327681182190933,-0.049009954180270945,0.020285557404051323,-0.03306508114214728,0.023031683632678587,-0.03754281418848006,-0.02841949928783899,-0.06039645252251168,-0.06929551158432226,-0.05609676477482587
KOSPI,2026-03-06,2026-03-09,20,-0.04882193722684465,-0.04240488749578561,-0.04240488749578561,-0.007441727649543219,-0.031408102948793544,0.012950015910395147,-0.007397470234936659,0.033478342352133705,-0.013702669592365185,0.033395386346496615,0.0414978234303738,0.06609578466113475,-0.03496315984624239,-0.044358118859188694,-0.04087581258707036,-0.0470980559388618,-0.024597961230760947
KOSPI,2026-03-09,2026-03-10,20,-0.007370182813161541,-0.0030110249671377043,-0.0030110249671377043,-0.0010094972979479413,-0.0019824012830185257,0.013524569517302621,0.022186352774230006,0.02227983982770616,0.039707603243618564,0.010618340441933289,0.016783254460642903,0.009868379594002153,-0.002001527669189763,-0.015506970800321146,-9.34870534761538e-05,0.029089262801685275,0.00691487486664075
KOSPI,2026-03-10,2026-03-11,20,0.013958441896936596,0.00012525960324695772,0.00012525960324695772,0.003313210140423718,0.0063642205626406045,0.010744135250096288,0.005213361545077644,0.00397704076496186,-0.0025924795589229942,0.00736310042584447,-0.020905188409470577,0.013176521273805983,-0.0031879505371767603,-0.004379914687455683,0.0012363207801157844,-0.009955579984767465,-0.03408170968327656
KOSPI,2026-03-11,2026-03-12,20,0.0005347941714613724,-0.001809994927859493,-0.001809994927859493,0.006303792604136754,-0.007391876159242966,0.0006766668444763013,-0.026839792171473233,-0.005156537551782719,0.0035907401246813796,0.01833355879371307,-0.0018490113612171788,0.022473365072197167,-0.008113787531996246,-0.008068543003719267,-0.021683254619690513,-0.01474281866903169,-0.024322376433414346
KOSPI,2026-03-12,2026-03-13,20,-0.0036818105482448295,-0.0034995874500295676,-0.0034995874500295676,0.006054124269670603,-0.005618366241989714,-0.0002583675098757267,0.003936342979518554,0.0093306550820576,0.02022537829834762,0.013607578436068777,-0.00038417477329209527,0.020407921013561692,-0.00955371171970017,-0.005359998732113988,-0.005394312102539047,0.006617799862278843,-0.020792095786853787
KOSPI,2026-03-13,2026-03-16,20,0.012736149715998823,-0.0017389535018126235,-0.0017389535018126235,-0.007828312704234196,9.317763251986965e-06,0.0010300616363091042,0.012961947884943325,0.014498699837845928,0.022976322300864042,0.029845537613731477,-0.03178049567480278,0.009056369836015708,0.0060893592024215725,-0.0010207438730571172,-0.0015367519529026034,-0.006869215312867435,-0.04083686551081849
KOSPI,2026-03-16,2026-03-17,20,0.008948479982899622,0.0049264653516921,0.0049264653516921,-0.0004629721835400291,0.0036430063409287118,0.011050449238303965,-0.01225670023379088,0.0028919064038793645,-0.040354511959835235,-0.011277103740434304,-0.05053892846837341,-0.010644176213739441,0.005389437535232129,-0.007407442897375254,-0.015148606637670245,-0.02907740821940093,-0.03989475225463397
KOSPI,2026-03-17,2026-03-18,20,-0.000312677444483922,-0.007831023489434314,-0.007831023489434314,0.004888718138372694,0.004268552578386908,-0.004044026317642441,-0.008355678539244243,0.021470631394431224,-0.04743969217892769,-0.008835161940799596,-0.06802357619330121,-0.042041785313475154,-0.012719741627807007,0.008312578896029349,-0.029826309933675466,-0.0386045302381281,-0.025981790879826057
KOSPI,2026-03-18,2026-03-19,20,0.013287638317325767,0.026397835621395842,0.026397835621395842,-0.00321216753812102,0.07595807761152129,0.023584188828736627,0.02311181890614113,-0.014395551188992235,0.0252267051045161,0.015087443410162106,-0.014649501610153177,-0.0009942691057611144,0.02961000315951686,0.052373888782784664,0.037507370095133365,0.010139261694353993,-0.013655232504392063
KOSPI,2026-03-19,2026-03-20,20,0.03958542519701214,0.012882859588937767,0.012882859588937767,0.017952460738800694,-0.024153483206638526,-0.021133665304740194,-0.047137829693127,-0.007855455840722973,-0.06851090865214501,-0.0022272809767482373,-0.07726989755501593,-0.035649453635454104,-0.005069601149862928,-0.0030198179018983314,-0.039282373852404025,-0.06628362767539678,-0.04162044391956182
KOSPI,2026-03-20,2026-03-23,20,-0.042066863749516584,-0.04111088993808321,-0.04111088993808321,-0.02723200682547291,-0.056998391185543326,-0.014059547841020323,-0.03707739084208859,0.005446656754723758,-0.06599935549130756,-0.0062457209035033864,-0.06292022115838515,-0.02464976090185827,-0.013878883112610305,-0.042938843344523005,-0.042524047596812345,-0.05975363458780417,-0.03827046025652688
KOSPI,2026-03-23,2026-03-24,20,0.021954852983658363,0.010987548768815721,0.010987548768815721,-0.006966749452674923,0.03572421870465374,0.011851222295415551,0.04983885881279334,0.0008527145016967363,0.0458856177383847,-0.01810923410521752,-0.009124576306399039,-0.020747179559988428,0.017954298221490646,0.02387299640923819,0.0489861443110966,0.06399485184360222,0.01162260325358939
KOSPI,2026-03-24,2026-03-25,20,0.053525289482192095,0.03270317428006557,0.03270317428006557,0.008384316388788731,0.007611399906150412,-0.002253449047535297,0.0031947325925565317,-0.0013618898396475522,-0.020876930594861797,-0.041621894534932743,0.035765771170030144,-0.03180871391541349,0.024318857891276836,0.00986484895368571,0.004556622432204084,0.020744963940070946,0.06757448508544364
KOSPI,2026-03-25,2026-03-26,20,-0.007286240673929645,-0.011817877082140948,-0.011817877082140948,-0.013427188852849277,-0.027773613810116386,-0.01391515108647894,-0.052070842342112046,-0.032105581605013034,-0.04659222325162869,-0.01835969954670286,-0.05060548299272103,-0.00865807808654446,0.0016093117707083292,-0.013858462723637447,-0.019965260737099012,-0.028232523704925832,-0.04194740490617657
KOSPI,2026-03-26,2026-03-27,20,-0.02290648013008645,-0.013117798776503525,-0.013117798776503525,0.008741066298537707,-0.025420555561367762,-0.010940478155960429,-0.07472104990881534,-0.03309428682775364,-0.07946190858170772,-0.02326555205476912,-0.060733451980196765,0.014109603740996323,-0.021858865075041232,-0.014480077405407334,-0.0416267630810617,-0.0561963565269386,-0.07484305572119308
KOSPI,2026-03-27,2026-03-30,20,-0.018250523161025052,-0.01628840956719004,-0.01628840956719004,0.001736431004217969,-0.027824419046554166,-0.018959334636297023,0.012981693678046708,0.018797206823142433,0.0014083778261167023,0.003791231503887124,0.1356061065872884,0.04643604918057216,-0.01802484057140801,-0.008865084410257143,-0.005815513145095725,-0.0023828536777704213,0.08917005740671623
KOSPI,2026-03-30,2026-03-31,20,-0.021003488328028463,-0.0206708546133129,-0.0206708546133129,-0.015774816280000527,0.005215027665809208,0.01985117690545883,-0.035076526156053126,-0.008685912806372226,-0.03154279421614342,0.0030768476773064468,-0.008126806864667607,0.052623777456440084,-0.004896038333312373,-0.014636149239649624,-0.0263906133496809,-0.03461964189344987,-0.06075058432110769
KOSPI,2026-03-31,2026-04-01,20,0.035893198501284626,0.013652709325462342,0.013652709325462342,0.014588767286136492,-0.004950203648312207,-0.01646649527100009,0.03987625905255993,-0.0011195122814144998,0.06556424975723399,-0.006476277872089451,0.3157003068406457,0.04993806431583252,-0.0009360579606741502,0.011516291622687885,0.04099577133397443,0.07204052762932343,0.2657622425248132
KOSPI,2026-04-01,2026-04-02,20,0.008001198485549943,-0.0003148899592024468,-0.0003148899592024468,-0.034675521321103304,0.042547476174730384,-0.01879730192460126,0.04000957427434324,-0.02355993121889624,0.016109533526646874,0.003160202234708619,0.13836141753287892,0.04421165035410631,0.03436063136190086,0.06134477809933164,0.06356950549323948,0.012949331291938256,0.0941497671787726
KOSPI,2026-04-02,2026-04-03,20,0.03413432900739688,0.012626482451952008,0.012626482451952008,-0.0005098267215536346,-0.0017444020789221693,-0.0004604558473824138,-0.010324716775222531,-0.007769746082007038,0.01336488162386763,0.02587385076364487,0.07205757488649746,0.07730270717463812,0.013136309173505643,-0.0012839462315397555,-0.002554970693215493,-0.01250896913977724,-0.005245132288140664
KOSPI,2026-04-03,2026-04-06,20,-0.0067009948771033275,-0.019130450719804258,-0.019130450719804258,-0.00648384245412719,-0.031324188694596924,-0.010594913152988947,-0.020479681911419374,0.02342741619546105,0.06985232833874658,0.038296833244069226,0.11079084414350364,0.08051358918135587,-0.012646608265677067,-0.02072927554160798,-0.04390709810688043,0.03155549509467735,0.030277254962147768
KOSPI,2026-04-06,2026-04-07,20,-0.008106548968260425,-0.001000759060366685,-0.001000759060366685,-0.010167784404563528,-0.006638319497051193,0.022652501058667732,0.011268341018888262,0.02391403096893686,0.07151132044299169,0.03519187481628935,0.082074459563066,0.07516923006051501,0.009167025344196843,-0.029290820555718924,-0.012645689950048599,0.03631944562670234,0.006905229502550986
KOSPI,2026-04-07,2026-04-08,20,0.01616005740704355,0.00952025828195062,0.00952025828195062,0.012787789936826584,0.026272884820928908,0.010813244600027591,0.03208178874050499,0.027651465415994957,0.02535667853125714,0.042447064159446136,0.06185712991417383,0.07454951858681923,-0.003267531654875965,0.015459640220901317,0.004430323324510033,-0.017090385628188997,-0.012692388672645397
KOSPI,2026-04-08,2026-04-09,20,-0.000243719914447843,0.0020515154493918773,0.0020515154493918773,-0.0020730307529197335,0.04464159287615741,0.013941942928138964,0.05481494038775976,0.01395198546406856,0.10176318575423235,0.03869567794999595,0.1718575951775887,0.06580548415771915,0.004124546202311611,0.030699649948018447,0.0408629549236912,0.0630675078042364,0.10605211101986954
KOSPI,2026-04-09,2026-04-10,20,0.023101594706779027,-0.0007654182541291966,-0.0007654182541291966,0.009129376430985697,0.010705398718364617,0.007608564693022389,0.022494668413431007,0.02477819303742668,0.04273580765049822,0.046335628727270615,0.09834851410009843,0.05705662289810613,-0.009894794685114894,0.003096834025342228,-0.002283524623995673,-0.003599821076772397,0.041291891201992295
KOSPI,2026-04-10,2026-04-13,20,0.03589292725367961,0.016160715941679792,0.016160715941679792,0.0048740627990534946,0.01725878035130186,0.018919879013058197,0.0070009253946981395,0.029867542090496576,0.03226305318841092,0.04416669492496851,0.04343700034421177,0.06765617135524865,0.011286653142626297,-0.001661098661756337,-0.022866616695798436,-0.011903641736557592,-0.024219171011036884
KOSPI,2026-04-13,2026-04-14,20,0.005663498068972111,-0.004024481754330461,-0.004024481754330461,0.004664568008539639,0.013426699670263487,0.013769986459459491,0.01657483936769849,0.026179538156226506,0.026012623633418514,0.03206998946237381,0.0730860715711962,0.06688196580558649,-0.0086890497628701,-0.0003432867891960036,-0.009604698788528016,-0.006057365828955299,0.006204105765609716
KOSPI,2026-04-14,2026-04-15,20,0.0076720557335950455,0.002416573100581071,0.002416573100581071,-0.0014467511148383025,0.015342031142116302,0.011299055307829011,0.01742281426763495,0.015715528438888526,0.005780731759583812,0.021847034649437644,0.04652910610871047,0.0562545265709082,0.0038633242154193733,0.004042975834287291,0.001707285828746425,-0.01606630288985383,-0.00972542046219773
KOSPI,2026-04-15,2026-04-16,20,0.00822343480258177,-0.0008920339303515101,-0.0008920339303515101,0.006335639351576406,0.010031440536577969,0.008539774382572106,0.011839531011507632,0.010864208499338519,0.057410054803647005,0.01607380426183623,0.09720315698334585,0.05731619030831542,-0.0072276732819279155,0.0014916661540058627,0.0009753225121691134,0.041336250541810775,0.03988696667503043
KOSPI,2026-04-16,2026-04-17,20,0.017867742899523382,0.0008428000359288534,0.0008428000359288534,-0.0006451427244587359,0.014355931764877494,-0.0010285754824400522,0.01633368451765565,0.007646273548801441,0.0011506726167140157,0.00870221878403006,0.060526987830790524,0.031237306966102416,0.0014879427603875892,0.015384507247317545,0.008687410968854208,-0.007551546167316045,0.029289680864688108
KOSPI,2026-04-17,2026-04-20,20,0.022828253998138294,0.015010507183585787,0.015010507183585787,-0.0032181102313153815,0.051600807037098975,0.0034608775771659355,0.10142187342640958,0.006852435056048013,0.0970601037084853,0.018184731957733968,0.1309189285862391,0.03800803409082616,0.018228617414901168,0.04813992945993304,0.09456943837036157,0.07887537175075134,0.09291089449541294
KOSPI,2026-04-20,2026-04-21,20,0.016758116910231807,0.009642950513789684,0.009642950513789684,0.0009687144924609546,0.03084012370264925,0.006095658034959401,0.04789236856507141,0.004245841396712873,0.060148324000219223,0.030445238031718117,0.03054123055047761,0.03457506848762097,0.008674236021328729,0.024744465667689848,0.04364652716835854,0.029703085968501106,-0.004033837937143361
KOSPI,2026-04-21,2026-04-22,20,0.004714356429438016,-0.001394169946659768,-0.001394169946659768,0.002482310696420621,-0.009343525241067718,0.002314578729622379,0.014522784573454572,0.018595439946581832,0.06997618573219676,0.02918686914118115,0.049998997849373464,0.024591059118222968,-0.003876480643080389,-0.011658103970690097,-0.00407265537312726,0.040789316591015604,0.025407938731150496
