# 사전 예상: E1 지지(평상시 H3보다 악화) / E2 유의미하지 않음 — 달라도 그대로 보고, 튜닝 금지
# E1은 수익이 '낮을수록' 가설 지지 (H3 부호 해석과 동일)
# 사용 사건: 36건 (2016-01 이후), 제외: 1건 — M001 스타벅스 5·18 탱크데이 논란
시장,전략,보유,진입월,사건ID,사건,종목수,만기누락,수익률,시장프록시,랜덤평균,초과_시장,초과_랜덤,수익률_비용후,초과_랜덤_비용후
KOSPI,E1,1,2022-11,E03,ChatGPT 출시 / AI 빅뱅,30,0,-0.1472649442878547,-0.09593343894932142,-0.03386375022766607,-0.05133150533853327,-0.11340119406018861,-0.1502649442878547,-0.11640119406018862
KOSPI,E2,1,2022-11,E03,ChatGPT 출시 / AI 빅뱅,30,0,-0.09293177796482807,-0.09593343894932142,-0.03386375022766607,0.003001660984493351,-0.059068027737162,-0.09593177796482807,-0.062068027737162
KOSPI,E1,3,2022-11,E03,ChatGPT 출시 / AI 빅뱅,30,0,-0.09845368969892108,-0.02447968246620696,0.037709276357153335,-0.07397400723271412,-0.13616296605607442,-0.10145368969892109,-0.13916296605607442
KOSPI,E2,3,2022-11,E03,ChatGPT 출시 / AI 빅뱅,30,0,0.025738156612632127,-0.02447968246620696,0.037709276357153335,0.05021783907883909,-0.011971119744521207,0.022738156612632128,-0.014971119744521207
KOSPI,E1,6,2022-11,E03,ChatGPT 출시 / AI 빅뱅,30,0,0.23039653867460486,0.051190694583957724,0.0530328742678135,0.17920584409064713,0.17736366440679135,0.22739653867460485,0.17436366440679135
KOSPI,E2,6,2022-11,E03,ChatGPT 출시 / AI 빅뱅,30,0,0.2529886041084784,0.051190694583957724,0.0530328742678135,0.20179790952452067,0.1999557298406649,0.2499886041084784,0.1969557298406649
KOSPI,E1,1,2025-01,E04,딥시크 쇼크,30,0,0.0038884868891851795,0.006536709914852707,0.018435361057852404,-0.002648223025667528,-0.014546874168667224,0.0008884868891851794,-0.017546874168667223
KOSPI,E2,1,2025-01,E04,딥시크 쇼크,30,0,0.046878566702585986,0.006536709914852707,0.018435361057852404,0.04034185678773328,0.02844320564473358,0.04387856670258598,0.02544320564473358
KOSPI,E1,3,2025-01,E04,딥시크 쇼크,30,0,0.04531133069658164,0.016377889952199066,0.062127835712827935,0.028933440744382578,-0.01681650501624629,0.04231133069658164,-0.019816505016246294
KOSPI,E2,3,2025-01,E04,딥시크 쇼크,30,0,0.10369955468112997,0.016377889952199066,0.062127835712827935,0.08732166472893091,0.041571718968302036,0.10069955468112997,0.038571718968302034
KOSPI,E1,6,2025-01,E04,딥시크 쇼크,30,0,0.1489418935837824,0.2874116815170466,0.23595335303867265,-0.1384697879332642,-0.08701145945489025,0.1459418935837824,-0.09001145945489025
KOSPI,E2,6,2025-01,E04,딥시크 쇼크,30,0,0.8783668792241156,0.2874116815170466,0.23595335303867265,0.5909551977070691,0.6424135261854429,0.8753668792241156,0.639413526185443
KOSPI,E1,1,2025-04,E05,트럼프 관세 폭탄 (2025),30,0,0.012837890043585617,0.053803361295892346,0.061630622111477115,-0.04096547125230673,-0.048792732067891496,0.009837890043585616,-0.0517927320678915
KOSPI,E2,1,2025-04,E05,트럼프 관세 폭탄 (2025),30,0,0.03152951050922224,0.053803361295892346,0.061630622111477115,-0.02227385078667011,-0.030101111602254878,0.02852951050922224,-0.033101111602254873
KOSPI,E1,3,2025-04,E05,트럼프 관세 폭탄 (2025),30,0,0.1172922891807993,0.26673552800002154,0.14967536391675373,-0.14944323881922222,-0.032383074735954434,0.1142922891807993,-0.03538307473595444
KOSPI,E2,3,2025-04,E05,트럼프 관세 폭탄 (2025),30,0,0.15690175107127036,0.26673552800002154,0.14967536391675373,-0.10983377692875118,0.0072263871545166225,0.15390175107127035,0.00422638715451662
KOSPI,E1,6,2025-04,E05,트럼프 관세 폭탄 (2025),30,0,0.4027704781356365,0.6094577636510489,0.18895378299699925,-0.20668728551541238,0.21381669513863724,0.3997704781356365,0.21081669513863724
KOSPI,E2,6,2025-04,E05,트럼프 관세 폭탄 (2025),30,0,0.2201714381043252,0.6094577636510489,0.18895378299699925,-0.38928632554672365,0.031217655107325964,0.2171714381043252,0.028217655107325962
KOSPI,E1,1,2018-04,M002,한진 조현민 물컵 갑질 사건,30,0,0.007948837111163938,-0.25072949769601055,0.024102543937849257,0.2586783348071745,-0.01615370682668532,0.004948837111163938,-0.01915370682668532
KOSPI,E2,1,2018-04,M002,한진 조현민 물컵 갑질 사건,30,0,-0.03621265821454734,-0.25072949769601055,0.024102543937849257,0.21451683948146322,-0.060315202152396594,-0.03921265821454734,-0.0633152021523966
KOSPI,E1,3,2018-04,M002,한진 조현민 물컵 갑질 사건,30,0,-0.15386425120731959,-0.287357647528847,-0.0898608129351372,0.13349339632152743,-0.06400343827218238,-0.1568642512073196,-0.06700343827218239
KOSPI,E2,3,2018-04,M002,한진 조현민 물컵 갑질 사건,30,0,-0.1601646452517204,-0.287357647528847,-0.0898608129351372,0.12719300227712663,-0.07030383231658319,-0.1631646452517204,-0.07330383231658319
KOSPI,E1,6,2018-04,M002,한진 조현민 물컵 갑질 사건,30,0,-0.33164498071569287,-0.3848260774700256,-0.21676452547845368,0.053181096754332746,-0.11488045523723919,-0.3346449807156929,-0.1178804552372392
KOSPI,E2,6,2018-04,M002,한진 조현민 물컵 갑질 사건,30,0,-0.30849160052371866,-0.3848260774700256,-0.21676452547845368,0.07633447694630696,-0.09172707504526498,-0.31149160052371866,-0.09472707504526498
KOSPI,E1,1,2022-10,M004,카카오 SK C&C 판교 데이터센터 화재,30,0,0.09940563137139134,0.07696066930532192,0.0976444149117831,0.022444962066069427,0.0017612164596082364,0.09640563137139134,-0.0012387835403917663
KOSPI,E2,1,2022-10,M004,카카오 SK C&C 판교 데이터센터 화재,30,0,0.13893978220413802,0.07696066930532192,0.0976444149117831,0.06197911289881611,0.04129536729235492,0.13593978220413802,0.038295367292354915
KOSPI,E1,3,2022-10,M004,카카오 SK C&C 판교 데이터센터 화재,30,0,0.09235192276593084,0.056687440365917115,0.1354474581622723,0.03566448240001372,-0.043095535396341464,0.08935192276593083,-0.04609553539634147
KOSPI,E2,3,2022-10,M004,카카오 SK C&C 판교 데이터센터 화재,30,0,0.12370724917129937,0.056687440365917115,0.1354474581622723,0.06701980880538225,-0.01174020899097293,0.12070724917129937,-0.014740208990972933
