# 사전 예상: 월 H2(지속성)와 동형 — 서열은 있되 랜덤 미달 (달라도 그대로 보고)
# 한계: 강도 분모는 유통물량이 아닌 상장주식수 근사
# 한계: 일별 데이터 2025-07~ → 진입 표본 ~10회, 전부 후반 구간 — 기간 분할 무의미
시장,전략,보유,진입월,종목수,만기누락,수익률,시장프록시,랜덤평균,최대진입일수,초과_시장,초과_랜덤,수익률_비용후,초과_랜덤_비용후
KOSDAQ,B1,3,2025-11,20,1,0.2039236549795385,0.30818623588682037,0.17871660739202447,9,-0.10426258090728188,0.02520704758751402,0.20092365497953849,0.022207047587514017
KOSDAQ,B2,1,2025-11,20,1,0.031833251528208,0.010189295706383049,0.02781565186846681,9,0.021643955821824948,0.004017599659741189,0.028833251528208,0.0010175996597411897
KOSDAQ,B2,3,2025-11,20,1,0.21705665103301205,0.30818623588682037,0.17871660739202447,9,-0.09112958485380832,0.03834004364098759,0.21405665103301205,0.035340043640987584
KOSDAQ,B1,1,2025-12,20,1,0.3279980456085432,0.24354304922466716,0.11870593963705697,8,0.08445499638387602,0.2092921059714862,0.3249980456085432,0.2062921059714862
KOSDAQ,B1,3,2025-12,20,1,0.14242421753602827,0.14166817793343198,0.08320253563590992,8,0.0007560396025962923,0.05922168190011835,0.13942421753602827,0.05622168190011835
KOSDAQ,B2,1,2025-12,20,1,0.1305797146537806,0.24354304922466716,0.11870593963705697,8,-0.11296333457088656,0.011873775016723626,0.1275797146537806,0.008873775016723623
KOSDAQ,B2,3,2025-12,20,1,0.028618071410686424,0.14166817793343198,0.08320253563590992,8,-0.11305010652274555,-0.05458446422522349,0.025618071410686425,-0.057584464225223495
KOSDAQ,B1,1,2026-01,20,0,0.006744166994667461,0.03708308385893981,0.016189021965362455,6,-0.03033891686427235,-0.009444854970694994,0.0037441669946674605,-0.012444854970694995
KOSDAQ,B1,3,2026-01,20,0,0.13554287175414897,0.044188146762451246,0.1886049742646182,6,0.09135472499169772,-0.05306210251046922,0.13254287175414897,-0.056062102510469225
KOSDAQ,B2,1,2026-01,20,0,0.03178638353361059,0.03708308385893981,0.016189021965362455,7,-0.005296700325329223,0.015597361568248133,0.02878638353361059,0.012597361568248134
KOSDAQ,B2,3,2026-01,20,0,0.21188071203238165,0.044188146762451246,0.1886049742646182,7,0.1676925652699304,0.023275737767763455,0.20888071203238165,0.020275737767763452
KOSDAQ,B1,1,2026-02,20,0,-0.14118517980803827,-0.1153147228148246,-0.026531776254187078,6,-0.025870456993213664,-0.11465340355385119,-0.14418517980803827,-0.11765340355385119
KOSDAQ,B1,3,2026-02,20,0,-0.021483884469792262,-0.06054788354301118,0.1541203884213051,6,0.03906399907321892,-0.17560427289109737,-0.02448388446979226,-0.17860427289109737
KOSDAQ,B2,1,2026-02,20,1,-0.09728089075433437,-0.1153147228148246,-0.026531776254187078,6,0.018033832060490237,-0.07074911450014729,-0.10028089075433437,-0.07374911450014729
KOSDAQ,B2,3,2026-02,20,1,0.04848286120544523,-0.06054788354301118,0.1541203884213051,6,0.10903074474845642,-0.10563752721585987,0.04548286120544523,-0.10863752721585987
KOSDAQ,B1,1,2026-03,20,0,0.21917455020106286,0.1382086793281875,0.17371023875947195,9,0.08096587087287535,0.04546431144159091,0.21617455020106285,0.04246431144159091
KOSDAQ,B1,3,2026-03,20,0,-0.08984884007494387,-0.08479146264674552,0.11839558402572964,9,-0.0050573774281983536,-0.2082444241006735,-0.09284884007494387,-0.2112444241006735
KOSDAQ,B2,1,2026-03,20,0,0.16755610785094258,0.1382086793281875,0.17371023875947195,8,0.02934742852275507,-0.0061541309085293705,0.16455610785094257,-0.009154130908529373
KOSDAQ,B2,3,2026-03,20,0,-0.15777788634604528,-0.08479146264674552,0.11839558402572964,8,-0.07298642369929977,-0.2761734703717749,-0.16077788634604528,-0.2791734703717749
KOSDAQ,B1,1,2026-04,20,0,-0.21119079255929676,-0.06755113975565455,0.08402476904614685,5,-0.14363965280364221,-0.2952155616054436,-0.21419079255929677,-0.2982155616054436
KOSDAQ,B1,3,2026-04,20,0,-0.5003986195235454,-0.29478712471856494,-0.05722015898786287,5,-0.20561149480498042,-0.4431784605356825,-0.5033986195235454,-0.4461784605356825
KOSDAQ,B2,1,2026-04,20,0,0.0015429085230700078,-0.06755113975565455,0.08402476904614685,6,0.06909404827872456,-0.08248186052307684,-0.0014570914769299922,-0.08548186052307684
KOSDAQ,B2,3,2026-04,20,0,-0.22933332409967866,-0.29478712471856494,-0.05722015898786287,6,0.06545380061888628,-0.1721131651118158,-0.23233332409967866,-0.1751131651118158
KOSDAQ,B1,1,2026-05,20,0,-0.2851530024251666,-0.14165566073843677,-0.10386795393647803,8,-0.14349734168672984,-0.1812850484886886,-0.2881530024251666,-0.1842850484886886
KOSDAQ,B2,1,2026-05,20,0,-0.2219421611575545,-0.14165566073843677,-0.10386795393647803,13,-0.08028650041911772,-0.11807420722107646,-0.2249421611575545,-0.12107420722107647
KOSDAQ,B1,1,2026-06,20,0,-0.14390427730702565,-0.1261653546527333,-0.020667648375520282,8,-0.01773892265429236,-0.12323662893150537,-0.14690427730702565,-0.12623662893150536
KOSDAQ,B2,1,2026-06,20,0,-0.1290811987499113,-0.1261653546527333,-0.020667648375520282,9,-0.0029158440971780164,-0.10841355037439103,-0.1320811987499113,-0.11141355037439103
