# 사전 예상: H1 약한 지지 / H2 반반 / H3 지지 (결과가 달라도 그대로 보고 — 튜닝 금지)
# H1 레짐 발생: KOSPI 26회, KOSDAQ 26회
시장,전략,보유,진입월,종목수,만기누락,수익률,시장프록시,랜덤평균,초과_시장,초과_랜덤,수익률_비용후,초과_랜덤_비용후
KOSDAQ,H2i,6,2022-04,20,0,-0.3789284549790294,-0.2511054862639302,-0.22236601491631192,-0.12782296871509918,-0.15656244006271747,-0.3819284549790294,-0.15956244006271747
KOSDAQ,H2ii,6,2022-04,4,0,-0.3556286007404609,-0.2511054862639302,-0.23017159380131577,-0.10452311447653068,-0.1254570069391451,-0.3586286007404609,-0.1284570069391451
KOSDAQ,H3,6,2022-04,20,0,-0.2698092511721761,-0.2511054862639302,-0.22236601491631192,-0.01870376490824588,-0.04744323625586416,-0.2728092511721761,-0.050443236255864166
KOSDAQ,H2i,1,2022-05,20,0,-0.19632617351811893,-0.1885198474035273,-0.16138579559504113,-0.007806326114591616,-0.0349403779230778,-0.19932617351811893,-0.037940377923077806
KOSDAQ,H2ii,1,2022-05,6,0,-0.24267868375637414,-0.1885198474035273,-0.14966750622887107,-0.05415883635284682,-0.09301117752750307,-0.24567868375637414,-0.09601117752750307
KOSDAQ,H3,1,2022-05,20,0,-0.0392686950339577,-0.1885198474035273,-0.16138579559504113,0.14925115236956962,0.12211710056108344,-0.0422686950339577,0.11911710056108343
KOSDAQ,H2i,3,2022-05,20,0,-0.11783561304251189,-0.12241709512081866,-0.09702942547415554,0.0045814820783067756,-0.020806187568356352,-0.12083561304251189,-0.023806187568356355
KOSDAQ,H2ii,3,2022-05,6,0,-0.29367822711301605,-0.12241709512081866,-0.06713498861418445,-0.1712611319921974,-0.22654323849883162,-0.29667822711301606,-0.22954323849883163
KOSDAQ,H3,3,2022-05,20,0,0.01993627585434033,-0.12241709512081866,-0.09702942547415554,0.142353370975159,0.11696570132849587,0.016936275854340332,0.11396570132849587
KOSDAQ,H1,6,2022-05,0,0,,-0.20481632492532328,,,,,
KOSDAQ,H2i,6,2022-05,20,0,-0.15753595957529912,-0.20481632492532328,-0.1759322871480222,0.04728036535002417,0.01839632757272308,-0.16053595957529912,0.015396327572723079
KOSDAQ,H2ii,6,2022-05,6,0,-0.35308141027008766,-0.20481632492532328,-0.14355053783551527,-0.14826508534476437,-0.20953087243457238,-0.35608141027008766,-0.2125308724345724
KOSDAQ,H3,6,2022-05,20,0,-0.12770784870389168,-0.20481632492532328,-0.1759322871480222,0.0771084762214316,0.04822443844413052,-0.13070784870389168,0.045224438444130516
KOSDAQ,H2i,1,2022-06,20,0,0.07461093807527062,0.07865845074323956,0.06973790070286176,-0.004047512667968933,0.004873037372408864,0.07161093807527062,0.0018730373724088617
KOSDAQ,H2ii,1,2022-06,6,0,0.05007997042537343,0.07865845074323956,0.07228186835680586,-0.028578480317866126,-0.02220189793143243,0.04707997042537343,-0.025201897931432432
KOSDAQ,H3,1,2022-06,20,0,-0.14636426015149925,0.07865845074323956,0.06973790070286176,-0.2250227108947388,-0.21610216085436101,-0.14936426015149926,-0.21910216085436102
KOSDAQ,H2i,3,2022-06,20,0,-0.11682058636755217,-0.09886442837913337,-0.10053643226059517,-0.017956157988418806,-0.016284154106957008,-0.11982058636755218,-0.01928415410695701
KOSDAQ,H2ii,3,2022-06,6,0,-0.1834834864342959,-0.09886442837913337,-0.09859012319791638,-0.08461905805516254,-0.08489336323637953,-0.1864834864342959,-0.08789336323637953
KOSDAQ,H3,3,2022-06,20,0,-0.350662520039016,-0.09886442837913337,-0.10053643226059517,-0.25179809165988265,-0.2501260877784208,-0.353662520039016,-0.2531260877784208
KOSDAQ,H1,6,2022-06,20,0,-0.22945584380102169,-0.08151108979238184,0.02799893497863264,-0.14794475400863985,-0.25745477877965434,-0.2324558438010217,-0.26045477877965434
KOSDAQ,H2i,6,2022-06,20,0,-0.0969260317911736,-0.08151108979238184,0.02799893497863264,-0.015414941998791759,-0.12492496676980623,-0.0999260317911736,-0.12792496676980625
KOSDAQ,H2ii,6,2022-06,6,0,-0.1808037738752506,-0.08151108979238184,-0.06084105167204132,-0.09929268408286876,-0.11996272220320928,-0.1838037738752506,-0.12296272220320928
KOSDAQ,H3,6,2022-06,20,1,-0.3292190099014366,-0.08151108979238184,0.02799893497863264,-0.24770792010905476,-0.35721794488006925,-0.3322190099014366,-0.36021794488006925
KOSDAQ,H2i,1,2022-07,20,0,0.02215646892068151,0.0007316304834981889,-0.001226880576669559,0.02142483843718332,0.023383349497351068,0.01915646892068151,0.02038334949735107
KOSDAQ,H2ii,1,2022-07,4,0,-0.19954251841348616,0.0007316304834981889,-0.009923545039631623,-0.20027414889698436,-0.18961897337385453,-0.20254251841348617,-0.19261897337385453
KOSDAQ,H3,1,2022-07,20,0,-0.0381415193597547,0.0007316304834981889,-0.001226880576669559,-0.03887314984325289,-0.03691463878308514,-0.0411415193597547,-0.03991463878308514
KOSDAQ,H2i,3,2022-07,20,0,-0.15819567941517007,-0.13835199288411573,-0.13629204130088146,-0.01984368653105434,-0.02190363811428861,-0.16119567941517007,-0.024903638114288612
KOSDAQ,H2ii,3,2022-07,4,0,-0.1712975295703206,-0.13835199288411573,-0.141730501826011,-0.03294553668620487,-0.02956702774430961,-0.1742975295703206,-0.03256702774430961
KOSDAQ,H3,3,2022-07,20,0,-0.2496712958498581,-0.13835199288411573,-0.13629204130088146,-0.11131930296574236,-0.11337925454897663,-0.2526712958498581,-0.11637925454897663
KOSDAQ,H1,6,2022-07,0,0,,-0.0777008847975796,,,,,
KOSDAQ,H2i,6,2022-07,20,0,-0.138474883051059,-0.0777008847975796,-0.0037167718159518428,-0.060773998253479414,-0.13475811123510717,-0.141474883051059,-0.13775811123510717
KOSDAQ,H2ii,6,2022-07,4,0,-0.07889665928585987,-0.0777008847975796,-0.03279908981520378,-0.001195774488280274,-0.04609756947065609,-0.08189665928585987,-0.04909756947065609
KOSDAQ,H3,6,2022-07,20,2,-0.29209389728732665,-0.0777008847975796,-0.0037167718159518428,-0.21439301248974707,-0.2883771254713748,-0.29509389728732666,-0.2913771254713748
