# 사전 예상(고정): 동행 상관 양(+) 치우침 / 선행 상관 0 중심 — A 검증(갭 선취)과 정합해야 함. 전략화 금지, 기술 통계 전용
시장,코드,n주,r_동행,r_선행1,r_선행2,r_선행4,수급동행
KOSPI,003475,52,0.009,0.188,-0.011,0.05,중
KOSPI,003480,52,0.157,-0.004,0.066,0.052,중
KOSPI,003490,52,0.572,-0.042,0.021,-0.08,상
KOSPI,003495,52,0.112,0.079,0.031,-0.118,중
KOSPI,003520,52,0.369,-0.062,-0.029,-0.022,상
KOSPI,003530,52,-0.18,0.234,0.249,0.052,하
KOSPI,003535,45,-0.319,0.152,0.111,-0.086,하
KOSPI,003540,52,-0.053,0.051,0.17,0.227,하
KOSPI,003545,52,0.37,0.099,0.087,0.122,상
KOSPI,003547,52,0.344,0.099,0.03,0.066,상
KOSPI,003550,52,-0.126,0.127,-0.002,0.052,하
KOSPI,003555,52,0.364,0.29,0.143,0.215,상
KOSPI,003560,2,1.0,,,,
KOSPI,003570,52,-0.086,-0.005,0.028,-0.271,하
KOSPI,003580,52,-0.26,0.106,0.128,-0.072,하
KOSPI,003610,52,0.646,0.028,0.073,-0.234,상
KOSPI,003620,52,0.028,-0.038,-0.191,0.182,중
KOSPI,003650,52,0.136,0.06,0.123,0.074,중
KOSPI,003670,52,0.438,-0.123,-0.064,-0.053,상
KOSPI,003680,52,-0.006,-0.004,0.011,0.002,중
KOSPI,003690,52,0.043,0.167,0.033,0.082,중
KOSPI,003720,52,-0.075,-0.214,-0.113,0.13,하
KOSPI,003780,52,0.628,0.028,-0.176,0.077,상
KOSPI,003830,52,-0.057,0.302,-0.031,0.152,하
KOSPI,003850,52,0.413,-0.244,-0.107,0.095,상
KOSPI,003920,52,0.517,-0.004,-0.346,0.243,상
KOSPI,003925,52,-0.086,0.254,0.001,0.097,하
KOSPI,003960,52,0.342,0.006,-0.161,-0.087,상
KOSPI,004000,52,0.03,-0.095,0.106,-0.105,중
KOSPI,004020,52,0.285,0.052,-0.028,-0.145,상
KOSPI,004060,49,-0.431,-0.11,-0.039,-0.002,하
KOSPI,004080,52,0.308,0.089,-0.182,-0.134,상
KOSPI,004090,52,0.122,0.22,-0.467,-0.138,중
KOSPI,004100,52,0.549,0.004,-0.218,0.003,상
KOSPI,004105,52,0.448,-0.255,-0.219,-0.049,상
KOSPI,004140,52,0.331,-0.081,-0.149,-0.143,상
KOSPI,004150,52,0.349,0.094,-0.167,0.164,상
KOSPI,004170,52,0.054,-0.025,-0.182,-0.045,중
KOSPI,004250,52,0.529,0.209,0.03,-0.116,상
KOSPI,004255,52,-0.116,-0.168,0.025,0.115,하
KOSPI,004270,49,-0.159,0.233,0.06,0.185,하
KOSPI,004310,52,-0.241,0.027,0.097,-0.235,하
KOSPI,004360,52,0.507,0.051,-0.149,-0.217,상
KOSPI,004365,52,0.047,-0.15,-0.322,-0.211,중
KOSPI,004370,52,0.085,0.151,0.018,-0.113,중
